timestamp,sender,subject,risk_score,classification,quarantined,flags
4/20/2026 3:42,billing@yourclinic.org,Your appointment is confirmed for Tuesday,0,Safe,FALSE,
4/20/2026 3:42,no-reply@medicarе-update.xyz,URGENT: Patient portal access will be SUSPENDED,100,Phishing,TRUE,Phishing keyword: 'confirm your identity' | Healthcare lure: 'patient portal' | Suspicious sender: no-reply@medicarе-update.xyz | Suspicious URL pattern in body | Urgency signal: 2 all-caps words in subject | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here' | Obfuscation detected: obfuscated 'suspended' | Obfuscation detected: obfuscated 'urgent'
4/20/2026 3:42,support@insurance-verify.click,Insurance Verification Required,90,Phishing,TRUE,Phishing keyword: 'update your billing' | Phishing keyword: 'validate your credentials' | Healthcare lure: 'insurance verification' | Suspicious sender: support@insurance-verify.click | Suspicious URL pattern in body | Attachment present
4/20/2026 3:42,hr@yourclinic.org,Staff meeting notes attached,10,Safe,FALSE,Attachment present
4/20/2026 3:42,noreply@123456789@mail.com,Security Alert: Suspicious activity on your account,100,Phishing,TRUE,Phishing keyword: 'reset your password now' | Phishing keyword: 'security alert' | Phishing keyword: 'suspicious activity' | Phishing keyword: 'immediate response required' | Suspicious sender: noreply@123456789@mail.com | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'password'
4/20/2026 3:42,admin@yourclinic.org,Payroll system maintenance tonight,0,Safe,FALSE,
4/20/2026 3:42,billing@healthcare-updates.net,Medicare Update: Action Required,70,Phishing,TRUE,Phishing keyword: 'confirm your email address' | Healthcare lure: 'medicare update' | Suspicious URL pattern in body | Display-name spoofing: 'Clinic Billing Department' claims clinic but sender is billing@healthcare-updates.net
4/20/2026 3:42,noreply@accounts-yourclinic.xyz,Your health plan renewal is pending,40,Suspicious,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'health plan renewal' | Suspicious sender: noreply@accounts-yourclinic.xyz
4/20/2026 3:42,labs@yourclinic.org,Lab results available for Patient #4821,20,Safe,FALSE,Healthcare lure: 'patient portal' | Healthcare lure: 'lab results available'
4/20/2026 3:42,no-reply@account-verify.click,V3RIFY YOUR ACC0UNT NOW,80,Phishing,TRUE,Phishing keyword: 'login attempt' | Suspicious sender: no-reply@account-verify.click | Obfuscation detected: obfuscated 'verify' | Obfuscation detected: obfuscated 'account' | Obfuscation detected: obfuscated 'click here'
